AtomicNumber,Element,Symbol,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Period,Group,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint
20,Calcium,Ca,40.078,20,20,20,4,2,2.2,1,6.1132,1.54E+00,1112.15,1757
21,Scandium,Sc,44.956,24,21,21,4,3,2.1,1.36,6.5615,2.99E+00,1812.15,3109
22,Titanium,Ti,47.867,26,22,22,4,4,2,1.54,6.8281,4.54E+00,1933.15,3560
23,Vanadium,V,50.942,28,23,23,4,5,1.9,1.63,6.7462,6.11E+00,2175.15,3680
24,Chromium,Cr,51.996,28,24,24,4,6,1.9,1.66,6.7665,7.15E+00,2130.15,2944
25,Manganese,Mn,54.938,30,25,25,4,7,1.8,1.55,7.434,7.44E+00,1519.15,2334
26,Iron,Fe,55.845,30,26,26,4,8,1.7,1.83,7.9024,7.87E+00,1808.15,3134
27,Cobalt,Co,58.933,32,27,27,4,9,1.7,1.88,7.881,8.86E+00,1768.15,3200
28,Nickel,Ni,58.693,31,28,28,4,10,1.6,1.91,7.6398,8.91E+00,1726.15,3186
29,Copper,Cu,63.546,35,29,29,4,11,1.6,1.9,7.7264,8.96E+00,1357.75,2835
30,Zinc,Zn,65.38,35,30,30,4,12,1.5,1.65,9.3942,7.13E+00,692.88,1180
31,Gallium,Ga,69.723,39,31,31,4,13,1.8,1.81,5.9993,5.91E+00,302.91,2477
32,Germanium,Ge,72.64,41,32,32,4,14,1.5,2.01,7.8994,5.32E+00,1211.45,3106
33,Arsenic,As,74.922,42,33,33,4,15,1.3,2.18,9.7886,5.78E+00,1090.15,887
34,Selenium,Se,78.96,45,34,34,4,16,1.2,2.55,9.7524,4.81E+00,494.15,958
35,Bromine,Br,79.904,45,35,35,4,17,1.1,2.96,11.8138,3.12E+00,266.05,332
36,Krypton,Kr,83.798,48,36,36,4,18,1,,13.9996,3.73E-03,115.93,119.93
37,Rubidium,Rb,85.468,48,37,37,5,1,3,0.82,4.1771,1.53E+00,312.79,961
38,Strontium,Sr,87.62,50,38,38,5,2,2.5,0.95,5.6949,2.64E+00,1042.15,1655
39,Yttrium,Y,88.906,50,39,39,5,3,2.3,1.22,6.2173,4.47E+00,1799.15,3609
